company,cnpj,email,secondary_email,tertiary_email,telephone
Brascod,05.399.489/0001-30,monica@brascod.com.br,paloma@brascod.com.br,carla.geane@brascod.com.br,(11) 3173-2950
Britasolo Demolições EIRELI,14.111.923/0001-25,comercial2@britasolo.com.br,,,(15) 9816-25016
Global Air Cargo Ltda.,00.945.958/0001-55,marcos@globalcargo.com.br,ednei@globalcargo.com.br,edeilson@globalcargo.com.br,(11) 3017-8990
Guard Center,18.556.125/0001-68,escolta@guardcenter.com.br,,,
Nitrosul,06.155.946/0001-03,bruno@nitrosul.ind.br,luccas@nitrosul.ind.br,,
LG,01.166.372/0001-55,encarregadoLG@saferpoint.com.br,,,
Opex Serviços e Mineração,02.184.341/0002-70,edmar@opexltda.com,,,(28) 3539-1526
Pilar Química do Brasil Ltda.,55.743.298/0001-11,mariana.aldriguetti@pilarquimica.com.br,,,(11) 4136-1699
Total Express,73.939.449/0001-93,exmplo@exemplo.com.br,,,
TOC - Terminais de Operações de Cargas Ltda.,67.546.671/0001-23,gabrielly.oliveira@tocterminais.com.br,,,
Logmed,10.466.633/0001-43,claudinei.oliveira@logmed.net,,,(12) 3903-4294
